"Manually Synchronize Data","Manually Synchronize Data"
"Successfully invoiced %1","Successfully invoiced %1"
"Not invoiced %1","Not invoiced %1"
"Successfully shipped %1","Successfully shipped %1"
"Not shipped %1","Not shipped %1"
"Successfully deleted: %1 ,
                    Errors: %2","Successfully deleted: %1 ,
                    Errors: %2"
"Your invoice was updated.","Your invoice was updated."
"Shipment was updated.","Shipment was updated."
"Result: ","Result: "
"Successfully invoiced: %1 ","Successfully invoiced: %1 "
"Successfully captured: %1 ","Successfully captured: %1 "
"Not captured %1","Not captured %1"
"Successfully shipped: %1 ","Successfully shipped: %1 "
"There are no printable documents related to selected orders.","There are no printable documents related to selected orders."
"The order emails have been sent.","The order emails have been sent."
"The invoice emails have been sent.","The invoice emails have been sent."
"The shipment emails have been sent.","The shipment emails have been sent."
"Synchronization completed successfully","Synchronization completed successfully"
Complete,Complete
"Are you sure you want to complete selected items?","Are you sure you want to complete selected items?"
"Delete Completely","Delete Completely"
"Are you sure you want to Delete Completely selected items?","Are you sure you want to Delete Completely selected items?"
Synchronize,Synchronize
"Are you sure you want to synchronize selected orders?","Are you sure you want to synchronize selected orders?"
"Re-send Order Email","Re-send Order Email"
"Re-send Invoice Email","Re-send Invoice Email"
"Re-send Shipment Email","Re-send Shipment Email"
Capture,Capture
"Are you sure you want to Capture selected items?","Are you sure you want to Capture selected items?"
Invoice,Invoice
"Are you sure you want to Invoice selected items?","Are you sure you want to Invoice selected items?"
"Invoice + Print","Invoice + Print"
"Are you sure you want to Invoice + Print selected items?","Are you sure you want to Invoice + Print selected items?"
Ship,Ship
"Are you sure you want to Ship selected items?","Are you sure you want to Ship selected items?"
"Ship + Print","Ship + Print"
"Are you sure you want to Ship + Print selected items?","Are you sure you want to Ship + Print selected items?"
"Invoice + Capture","Invoice + Capture"
"Are you sure you want to Invoice + Capture selected items?","Are you sure you want to Invoice + Capture selected items?"
"Invoice + Capture + Ship","Invoice + Capture + Ship"
"Are you sure you want to Invoice + Capture + Ship selected items?","Are you sure you want to Invoice + Capture + Ship selected items?"
"Invoice + Capture + Ship + Print","Invoice + Capture + Ship + Print"
"Are you sure you want to Invoice + Capture + Ship + Print selected items?","Are you sure you want to Invoice + Capture + Ship + Print selected items?"
Columns,Columns
"You haven't selected any items!","You haven't selected any items!"
"Please Select","Please Select"
Close,Close
OK,OK
"Order Management","Order Management"
"Orders Grid","Orders Grid"
"Main Settings","Main Settings"
"Sync orders additional data","Sync orders additional data"
"Sync order grid by opening","Sync order grid by opening"
"Count of recent orders to sync","Count of recent orders to sync"
"Sync order grid by cron","Sync order grid by cron"
"When set to yes the life-time synchronization will be disabled. All orders will be synchronized every 5 minutes using cron.","When set to yes the life-time synchronization will be disabled. All orders will be synchronized every 5 minutes using cron."
Additional,Additional
"Notify Customer","Notify Customer"
"Do Not Notify Customer","Do Not Notify Customer"
"Coupon Code","Coupon Code"
"Discount Amount","Discount Amount"
"Customer Id","Customer Id"
Weight,Weight
"Subtotal (Purchased)","Subtotal (Purchased)"
Modified,Modified
"Tax Code","Tax Code"
"Tax Percent","Tax Percent"
"Tax Amount","Tax Amount"
"Tax Amount (Base)","Tax Amount (Base)"
"Tax Real Amount (Base)","Tax Real Amount (Base)"
Invoices,Invoices
Shipments,Shipments
"Tracking Numbers","Tracking Numbers"
"Product Name","Product Name"
SKU,SKU
"Product Thumbnail","Product Thumbnail"
"Product Quantity","Product Quantity"
"Qty by SKU","Qty by SKU"
"Billing Fax","Billing Fax"
"Billing Region","Billing Region"
"Billing Postcode","Billing Postcode"
"Billing City","Billing City"
"Billing Telephone","Billing Telephone"
"Billing Country","Billing Country"
"Shipping Fax","Shipping Fax"
"Shipping Region","Shipping Region"
"Shipping Postcode","Shipping Postcode"
"Shipping City","Shipping City"
"Shipping Telephone","Shipping Telephone"
"Shipping Country","Shipping Country"
"Order capture notification comment","Order capture notification comment"
